fid,id,cod_ine_mu,cod_ine__1,cod_catast,nom_mun,nom_mun_ca,nom_mun__1,nom_mun_va,nom_mun__2,noms_mun,comarca,provincia,perimetro,area_ha,coord_x,coord_y
524,"115","46232","462325","46234",Sinarcas,Sinarcas,Sinarcas,Sinarcas,Sinarcas,Sinarcas,La Plana de Utiel-Requena,València/Valencia,46175.400000000001455,10243.829999999999927,653342.220600,4401070.109000
525,"473","46234","462346","46236",Sot de Chera,Sot de Chera,Sot de Chera,Sot de Chera,Sot de Chera,Sot de Chera,La Serranía,València/Valencia,28334.799999999999272,3874.880000000000109,679099.407600,4386558.775000
526,"324","46235","462359","46237",Sueca,Sueca,Sueca,Sueca,Sueca,Sueca,la Ribera Baixa,València/Valencia,54053.599999999998545,9244.350000000000364,732306.874500,4346869.307000
527,"498","46236","462362","46238",Sumacàrcer,Sumacàrcer,Sumacàrcer,Sumacàrcer,Sumacàrcer,Sumacàrcer,la Ribera Alta,València/Valencia,23459.099999999998545,2009.440000000000055,704722.822900,4329015.622000
528,"78","46239","462397","46241",Teresa de Cofrentes,Teresa de Cofrentes,Teresa de Cofrentes,Teresa de Cofrentes,Teresa de Cofrentes,Teresa de Cofrentes,El Valle de Cofrentes-Ayora,València/Valencia,47483.699999999997090,11079.760000000000218,674440.756100,4331105.075000
529,"19","46242","462423","46244",Torrebaja,Torrebaja,Torrebaja,Torrebaja,Torrebaja,Torrebaja,El Rincón de Ademuz,València/Valencia,15825.200000000000728,471.480000000000018,648322.380200,4440492.065000
530,"534","46243","462439","46245",Torrella,Torrella,Torrella,Torrella,Torrella,Torrella,la Costera,València/Valencia,14465.500000000000000,116.420000000000002,710144.365100,4318169.398000
531,"311","46244","462444","46246",Torrent,Torrent,Torrent,Torrent,Torrent,Torrent,l'Horta Sud,València/Valencia,42284.500000000000000,6948.949999999999818,713288.620200,4366060.586000
532,"508","46245","462457","46247",Torres Torres,Torres Torres,Torres Torres,Torres Torres,Torres Torres,Torres Torres,el Camp de Morvedre,València/Valencia,25485.200000000000728,1177.799999999999955,724243.196400,4401255.776000
533,"281","46248","462482","46250",Turís,Turís,Turís,Turís,Turís,Turís,la Ribera Alta,València/Valencia,41502.099999999998545,8041.689999999999600,699250.925200,4360788.390000
534,"273","46251","462515","46253",Vallada,Vallada,Vallada,Vallada,Vallada,Vallada,la Costera,València/Valencia,36808.199999999997090,6150.920000000000073,700430.590600,4308197.409000
535,"101","46253","462536","46255",Vallés,Vallés,Vallés,Vallés,Vallés,Vallés,la Costera,València/Valencia,14709.799999999999272,123.599999999999994,711592.020800,4318302.590000
536,"329","46255","462554","46257",Vilallonga,Villalonga,Villalonga,Vilallonga,Vilallonga,Vilallonga/Villalonga,la Safor,València/Valencia,32363.299999999999272,4331.560000000000400,740537.648700,4307236.188000
537,"117","46259","462592","46261",Villargordo del Cabriel,Villargordo del Cabriel,Villargordo del Cabriel,Villargordo del Cabriel,Villargordo del Cabriel,Villargordo del Cabriel,La Plana de Utiel-Requena,València/Valencia,36674.199999999997090,7165.399999999999636,633077.082400,4376948.963000
538,"113","46260","462606","46262",Vinalesa,Vinalesa,Vinalesa,Vinalesa,Vinalesa,Vinalesa,l'Horta Nord,València/Valencia,6690.600000000000364,152.930000000000007,726116.730400,4379374.010000
539,"87","46261","462613","46263",Yátova,Yátova,Yátova,Yátova,Yátova,Yátova,La Hoya de Buñol,València/Valencia,50142.199999999997090,12015.709999999999127,681635.015000,4358969.122000
540,"252","46263","462634","46265",Zarra,Zarra,Zarra,Zarra,Zarra,Zarra,El Valle de Cofrentes-Ayora,València/Valencia,35781.400000000001455,4971.260000000000218,662766.811200,4329572.305000
541,"71","46902","469024","46266",Gátova,Gátova,Gátova,Gátova,Gátova,Gátova,el Camp de Túria,València/Valencia,31935.799999999999272,3045.880000000000109,711561.187300,4404223.297000
542,"523","46904","469045","46268",Benicull de Xúquer,Benicull de Xúquer,Benicull de Xúquer,Benicull de Xúquer,Benicull de Xúquer,Benicull de Xúquer,la Ribera Baixa,València/Valencia,8422.600000000000364,350.370000000000005,725641.718800,4340565.978000
